StateName,Year,Hazard,CropDmg,CropDmg(ADJ 2023),CropDmgPerCapita,Crop_Damage_Duration,PropertyDmg,PropertyDmg(ADJ 2023),PropertyDmgPerCapita,Property_Damage_Duration,Duration_Days,Records
ALABAMA,2000,Flooding,0.00000,0.00000,0.00000,0,3077000.00000,5379570.14436,37.67456,2,2,26
ALABAMA,2000,Fog,0.00000,0.00000,0.00000,0,580000.00000,1014023.62162,5.73382,1,1,3
ALABAMA,2000,Hail,5000.00000,8741.58295,0.13432,1,328000.00000,573447.84119,14.32999,1,1,67
ALABAMA,2000,Heat,0.00000,0.00000,0.00000,0,0.00000,0.00000,0.00000,0,8,3
ALABAMA,2000,Hurricane/Tropical Storm,0.00000,0.00000,0.00000,0,10000.00000,17483.16589,0.04370,2,2,1
ALABAMA,2000,Lightning,0.00000,0.00000,0.00000,0,222000.00000,388126.28276,7.55949,1,1,22
ALABAMA,2000,Severe Storm/Thunder Storm,0.00000,0.00000,0.00000,0,3747750.00000,6552253.49643,120.39089,2,2,414
ALABAMA,2000,Tornado,0.00000,0.00000,0.00000,0,37295000.00000,65203467.18685,970.00512,1,1,45
ALABAMA,2000,Wind,0.00000,0.00000,0.00000,0,3807750.00000,6657152.49177,121.72236,2,2,432
ALABAMA,2000,Winter Weather,0.00000,0.00000,0.00000,0,4312000.00000,7538741.13178,161.74094,3,3,46
ALABAMA,2001,Coastal,0.00000,0.00000,0.00000,0,3000.00000,5099.83258,0.01275,1,1,2
ALABAMA,2001,Flooding,0.00000,0.00000,0.00000,0,1145000.00000,1946436.10077,53.87808,2,2,60
ALABAMA,2001,Hail,9000.00000,15299.49774,0.23600,1,153000.00000,260091.46150,3.91344,1,1,32
ALABAMA,2001,Hurricane/Tropical Storm,0.00000,0.00000,0.00000,0,490000.00000,832972.65448,26.38286,2,2,3
ALABAMA,2001,Lightning,0.00000,0.00000,0.00000,0,1205000.00000,2048432.75233,46.83635,1,1,31
ALABAMA,2001,Severe Storm/Thunder Storm,0.00000,0.00000,0.00000,0,4457250.00000,7577076.25340,290.90333,1,1,330
ALABAMA,2001,Tornado,0.00000,0.00000,0.00000,0,14841000.00000,25228871.76547,576.93989,1,1,62
ALABAMA,2001,Wind,0.00000,0.00000,0.00000,0,4464250.00000,7588975.86275,291.05456,1,1,332
ALABAMA,2002,Coastal,0.00000,0.00000,0.00000,0,0.00000,0.00000,0.00000,0,1,3
ALABAMA,2002,Flooding,0.00000,0.00000,0.00000,0,7192000.00000,12035710.72061,57.36323,2,2,27
ALABAMA,2002,Hail,0.00000,0.00000,0.00000,0,1205000.00000,2016550.53091,16.73313,1,1,41
ALABAMA,2002,Hurricane/Tropical Storm,0.00000,0.00000,0.00000,0,6765000.00000,11321132.23372,43.42383,3,3,6
ALABAMA,2002,Lightning,0.00000,0.00000,0.00000,0,965000.00000,1614913.91065,29.09609,1,1,51
ALABAMA,2002,Severe Storm/Thunder Storm,0.00000,0.00000,0.00000,0,1608000.00000,2690965.35578,78.25836,1,1,265
ALABAMA,2002,Tornado,3000.00000,5020.45775,0.07970,1,17343000.00000,29023266.27190,938.39097,1,1,41
ALABAMA,2002,Wind,0.00000,0.00000,0.00000,0,1649000.00000,2759578.27840,79.21218,1,1,277
ALABAMA,2002,Winter Weather,0.00000,0.00000,0.00000,0,30000.00000,50204.57753,1.15817,2,2,16
ALABAMA,2003,Coastal,0.00000,0.00000,0.00000,0,0.00000,0.00000,0.00000,0,1,2
ALABAMA,2003,Flooding,650000.00000,1063527.58641,52.87800,4,1016286000.00000,1662843379.51356,3017.39252,4,4,77
ALABAMA,2003,Hail,0.00000,0.00000,0.00000,0,8921000.00000,14596507.07443,434.68998,1,1,95
ALABAMA,2003,Lightning,0.00000,0.00000,0.00000,0,872500.00000,1427581.26022,41.60808,1,1,36
ALABAMA,2003,Severe Storm/Thunder Storm,0.00000,0.00000,0.00000,0,2903000.00000,4749877.82054,132.37997,1,1,255
ALABAMA,2003,Tornado,17000.00000,27815.33688,1.74642,1,3062000.00000,5010033.03014,116.78553,1,1,38
ALABAMA,2003,Wind,0.00000,0.00000,0.00000,0,3021000.00000,4942948.98238,134.15704,1,2,261
ALABAMA,2003,Winter Weather,0.00000,0.00000,0.00000,0,0.00000,0.00000,0.00000,0,2,1
ALABAMA,2004,Flooding,0.00000,0.00000,0.00000,0,2763000.00000,4403542.09854,56.15902,2,2,83
ALABAMA,2004,Hail,0.00000,0.00000,0.00000,0,137000.00000,218344.28791,10.15920,1,1,10
ALABAMA,2004,Hurricane/Tropical Storm,25000000.00000,39843848.15911,100.23080,4,2503500000.00000,3989962954.65317,10164.54417,4,4,6
ALABAMA,2004,Landslide,0.00000,0.00000,0.00000,0,9000.00000,14343.78534,0.08485,1,1,1
ALABAMA,2004,Lightning,0.00000,0.00000,0.00000,0,1074000.00000,1711691.71692,25.08738,1,1,24
ALABAMA,2004,Severe Storm/Thunder Storm,1050000.00000,1673441.62268,156.02125,1,1803750.00000,2874733.64468,87.37560,1,1,199
ALABAMA,2004,Tornado,0.00000,0.00000,0.00000,0,5353000.00000,8531364.76783,195.41105,2,2,56
ALABAMA,2004,Wind,2415000.00000,3848915.73217,270.05033,1,84654750.00000,134918840.19789,4879.23342,1,1,252
ALABAMA,2005,Coastal,0.00000,0.00000,0.00000,0,0.00000,0.00000,0.00000,0,1,2
ALABAMA,2005,Flooding,0.00000,0.00000,0.00000,0,2033000.00000,3133923.28209,47.01662,6,6,93
ALABAMA,2005,Hail,0.00000,0.00000,0.00000,0,1202000.00000,1852914.79837,48.59900,1,1,167
ALABAMA,2005,Heat,0.00000,0.00000,0.00000,0,0.00000,0.00000,0.00000,0,1,3
ALABAMA,2005,Hurricane/Tropical Storm,100000.00000,154152.64545,0.38696,2,1163605000.00000,1793727890.14276,6628.45668,3,3,87
ALABAMA,2005,Lightning,0.00000,0.00000,0.00000,0,723000.00000,1114523.62664,16.18480,1,1,20
ALABAMA,2005,Severe Storm/Thunder Storm,0.00000,0.00000,0.00000,0,2466250.00000,3801789.61853,104.58447,1,1,205
ALABAMA,2005,Tornado,0.00000,0.00000,0.00000,0,4741000.00000,7308376.92101,220.25699,1,1,78
ALABAMA,2005,Wind,0.00000,0.00000,0.00000,0,2934250.00000,4523223.99925,120.14166,2,2,259
ALABAMA,2005,Winter Weather,0.00000,0.00000,0.00000,0,515000.00000,793886.12409,29.52334,2,2,12
ALABAMA,2006,Flooding,0.00000,0.00000,0.00000,0,110000.00000,164268.91297,1.35726,1,1,8
ALABAMA,2006,Hail,0.00000,0.00000,0.00000,0,733000.00000,1094628.30186,16.16172,1,1,33
ALABAMA,2006,Lightning,0.00000,0.00000,0.00000,0,2885000.00000,4308325.58101,35.29562,1,2,44
ALABAMA,2006,Severe Storm/Thunder Storm,0.00000,0.00000,0.00000,0,1950500.00000,2912786.49766,73.92363,1,1,266
ALABAMA,2006,Tornado,0.00000,0.00000,0.00000,0,8975500.00000,13403596.62126,376.02803,1,1,61
ALABAMA,2006,Wind,1000.00000,1493.35375,0.00486,1,1927500.00000,2878439.36131,71.68779,1,1,277
ALABAMA,2007,Coastal,0.00000,0.00000,0.00000,0,100000.00000,145199.77457,0.35831,1,1,6
ALABAMA,2007,Flooding,0.00000,0.00000,0.00000,0,322000.00000,467543.27412,5.21735,1,1,5
ALABAMA,2007,Hail,0.00000,0.00000,0.00000,0,133000.00000,193115.70018,3.99919,1,1,7
ALABAMA,2007,Heat,0.00000,0.00000,0.00000,0,0.00000,0.00000,0.00000,0,16,36
ALABAMA,2007,Lightning,11000.00000,15971.97520,0.84918,1,1279000.00000,1857105.11678,22.34508,1,1,27
ALABAMA,2007,Severe Storm/Thunder Storm,500000.00000,725998.87286,31.89942,1,10502875.00000,15250150.82360,223.35606,1,1,240
ALABAMA,2007,Tornado,0.00000,0.00000,0.00000,0,269705500.00000,391611778.00880,9181.56006,1,1,42
ALABAMA,2007,Wind,500000.00000,725998.87286,31.89942,1,17776875.00000,25811982.42598,352.82877,1,1,262
ALABAMA,2008,Coastal,0.00000,0.00000,0.00000,0,0.00000,0.00000,0.00000,0,1,5
ALABAMA,2008,Flooding,0.00000,0.00000,0.00000,0,6084500.00000,8508010.94160,27.42331,2,2,25
ALABAMA,2008,Fog,0.00000,0.00000,0.00000,0,20000.00000,27966.17944,0.27037,1,1,1
ALABAMA,2008,Hail,0.00000,0.00000,0.00000,0,33000.00000,46144.19608,0.12312,1,1,5
ALABAMA,2008,Heat,0.00000,0.00000,0.00000,0,0.00000,0.00000,0.00000,0,1,3
ALABAMA,2008,Hurricane/Tropical Storm,0.00000,0.00000,0.00000,0,228000.00000,318814.44567,9.20103,3,3,25
ALABAMA,2008,Lightning,0.00000,0.00000,0.00000,0,514250.00000,719080.38898,15.06145,2,2,25
ALABAMA,2008,Severe Storm/Thunder Storm,1000.00000,1398.30897,0.01568,1,3454650.00000,4830668.09095,104.03761,1,1,577
ALABAMA,2008,Tornado,5000.00000,6991.54486,0.23433,1,27591500.00000,38581442.00760,931.88621,1,1,103
ALABAMA,2008,Wind,1000.00000,1398.30897,0.01568,1,3959650.00000,5536814.12194,123.14846,2,2,616
ALABAMA,2009,Coastal,0.00000,0.00000,0.00000,0,8000000.00000,11226412.84721,62.41126,2,2,1
ALABAMA,2009,Flooding,0.00000,0.00000,0.00000,0,15696500.00000,22026923.65702,379.45419,6,6,99
ALABAMA,2009,Hail,0.00000,0.00000,0.00000,0,162000.00000,227334.86016,4.54858,1,1,8
