"","state","year","hazard","cropdmg","cropdmg_adj","cropdmgpercapita","propertydmg","propertydmg_adj","propertydmgpercapita","duration_days"
"1","ALABAMA",2000,"Flooding",0,0,0,3077000,5379570.14436,37.67456,2
"2","ALABAMA",2000,"Fog",0,0,0,580000,1014023.62162,5.73382,1
"3","ALABAMA",2000,"Hail",5000,8741.58295,0.13432,328000,573447.84119,14.32999,1
"4","ALABAMA",2000,"Heat",0,0,0,0,0,0,8
"5","ALABAMA",2000,"Hurricane/Tropical Storm",0,0,0,10000,17483.16589,0.0437,2
"6","ALABAMA",2000,"Lightning",0,0,0,222000,388126.28276,7.55949,1
"7","ALABAMA",2000,"Severe Storm/Thunder Storm",0,0,0,3747750,6552253.49643,120.39089,2
"8","ALABAMA",2000,"Tornado",0,0,0,37295000,65203467.18685,970.00512,1
"9","ALABAMA",2000,"Wind",0,0,0,3807750,6657152.49177,121.72236,2
"10","ALABAMA",2000,"Winter Weather",0,0,0,4312000,7538741.13178,161.74094,3
"11","ALABAMA",2001,"Coastal",0,0,0,3000,5099.83258,0.01275,1
"12","ALABAMA",2001,"Flooding",0,0,0,1145000,1946436.10077,53.87808,2
"13","ALABAMA",2001,"Hail",9000,15299.49774,0.236,153000,260091.4615,3.91344,1
"14","ALABAMA",2001,"Hurricane/Tropical Storm",0,0,0,490000,832972.65448,26.38286,2
"15","ALABAMA",2001,"Lightning",0,0,0,1205000,2048432.75233,46.83635,1
"16","ALABAMA",2001,"Severe Storm/Thunder Storm",0,0,0,4457250,7577076.2534,290.90333,1
"17","ALABAMA",2001,"Tornado",0,0,0,14841000,25228871.76547,576.93989,1
"18","ALABAMA",2001,"Wind",0,0,0,4464250,7588975.86275,291.05456,1
"19","ALABAMA",2002,"Coastal",0,0,0,0,0,0,1
"20","ALABAMA",2002,"Flooding",0,0,0,7192000,12035710.72061,57.36323,2
"21","ALABAMA",2002,"Hail",0,0,0,1205000,2016550.53091,16.73313,1
"22","ALABAMA",2002,"Hurricane/Tropical Storm",0,0,0,6765000,11321132.23372,43.42383,3
"23","ALABAMA",2002,"Lightning",0,0,0,965000,1614913.91065,29.09609,1
"24","ALABAMA",2002,"Severe Storm/Thunder Storm",0,0,0,1608000,2690965.35578,78.25836,1
